Record Date,Active Storage (TB),Deleted Storage (TB),Storage Wrote (TB),Storage Read (TB),Active Objects,Deleted Objects,Egress (GB),Ingress (GB),API Calls,Active Storage (GB),Daily Charge ($),YearMonth
2026-03-20,364.721430877,0.033609842,0.407738362,0.0,12228344,8787287,0.024040354,417.563776939,59093,373474.745218048,160.47742958588,2026-03
2026-03-19,358.744299891,0.033610319,0.406479079,0.0,12042076,8781525,0.036332136,416.29224665,88483,367354.163088384,157.84749195204,2026-03
2026-03-18,355.902481632,0.033178458,0.398166393,0.0,11968672,8665621,0.042366532,407.789017217,102745,364444.141191168,156.59709191808,2026-03
2026-03-17,355.482285142,0.032506686,0.295497343,0.0,11963426,8485583,0.035163774,302.644782419,85613,364013.859985408,156.41220546248002,2026-03
2026-03-16,355.638423692,0.031831776,0.766548394,0.0,11958245,8304684,0.094974576,785.094915971,229706,364173.745860608,156.48090642448,2026-03
2026-03-15,355.293918908,0.031147159,0.545105483,0.0,11967753,8120927,0.063256159,558.287058633,152955,363820.972961792,156.32932431952,2026-03
2026-03-14,354.503153494,0.030459536,0.439294558,0.0,11986318,7936388,0.05450608,449.921803134,131563,363011.229177856,155.98138753736,2026-03
2026-03-13,353.227078138,0.029736852,0.438315159,0.0,12064281,7742396,0.056025017,448.921489744,135012,361704.528013312,155.41991438072,2026-03
2026-03-12,352.036107966,0.029009971,0.40568691,4.098e-06,12168165,7547342,0.317698623,415.867204039,729926,360484.974557184,154.89588750503998,2026-03
2026-03-11,714.316956371,0.026074578,0.402168585,3.186e-06,30648480,6743652,0.038519171,411.87645109,85931,731460.563323904,314.29946080324,2026-03
2026-03-10,711.641679689,0.025713254,0.333699624,0.0,30557357,6646619,0.029983394,341.76388261,73003,728721.080001536,313.12233906316,2026-03
2026-03-09,709.101067574,0.025354384,0.639457919,0.0,30465653,6550261,0.056022523,654.925710187,137042,726119.493195776,312.00446973256,2026-03
2026-03-08,706.719113975,0.024992394,0.472427777,0.0,30374291,6452976,0.095575019,483.944364351,226180,723680.3727104,310.956410149,2026-03
2026-03-07,720.189057855,0.024518332,0.405910265,0.0,31045175,6325569,0.595544178,416.497278173,1382734,737473.59524352,316.8831854562,2026-03
2026-03-06,1292.455766577,0.021808679,0.134929515,0.0,50115283,5603580,0.007810222,138.20280481,19170,1323474.704974848,568.6805372938801,2026-03
2026-03-05,1286.938978384,0.021782347,0.142218943,0.0,49922658,5602337,0.00792002,145.647327482,19525,1317825.513865216,566.2531504889599,2026-03
2026-03-04,1281.159394716,0.021777606,0.108609033,0.0,49728889,5600982,0.006379761,111.227011333,15723,1311907.220189184,563.71013367504,2026-03
2026-03-03,1275.440836333,0.021781496,0.097969502,0.0,49536070,5601803,0.005505507,100.330767106,13527,1306051.416404992,561.1939679865201,2026-03
2026-03-02,1269.749185486,0.021780472,0.077941657,0.0,49343027,5601320,0.004335734,79.829255634,10674,1300223.165937664,558.68964161384,2026-03
2026-03-01,1264.141848076,0.021779291,0.09582002,0.0,49149837,5600785,0.005338328,98.143550234,13122,1294481.252429824,556.22241315344,2026-03
2026-02-28,1258.187551255,0.021740984,0.072620512,0.0,48953614,5597251,0.003918996,74.369881627,9603,1288384.05248512,553.6025225522,2026-02
2026-02-27,1252.225828151,0.02179548,0.119552933,0.0,48760343,5596737,0.006784571,122.433478884,16760,1282279.248026624,550.97936438644,2026-02
2026-02-26,1246.370233584,0.021743503,0.131922777,0.0,48567801,5597374,0.006999313,135.100566193,17293,1276283.119190016,548.40290277696,2026-02
2026-02-25,1240.34351016,0.021745774,0.089690785,0.0,48375842,5598010,0.004793954,91.851291784,11772,1270111.75440384,545.7511444704,2026-02
2026-02-24,1234.176323872,0.021716429,0.131759954,0.0,48183472,5598303,0.007020027,134.933910827,17337,1263796.555644928,543.03758250368,2026-02
2026-02-23,1228.227741566,0.021719569,0.087091755,0.0,47991548,5599121,0.004658975,89.189795693,11586,1257705.207363584,540.42020628904,2026-02
2026-02-22,1222.50825755,0.021654671,0.079953973,0.0,47798392,5598352,0.00438756,81.880179175,10779,1251848.4557312,537.903633322,2026-02
2026-02-21,1216.593776366,0.021638438,0.090111325,0.0,47606754,5584693,0.005335823,92.282933162,13233,1245792.026998784,535.30126160104,2026-02
2026-02-20,1210.879158943,0.021490706,0.097656468,0.0,47414625,5549739,0.005183957,100.008853188,12685,1239940.258757632,532.78682993492,2026-02
2026-02-19,1204.914761193,0.021379455,0.057636208,0.0,47222723,5512157,0.003429261,59.025791643,8534,1233832.715461632,530.16249492492,2026-02
2026-02-18,1199.164040744,0.020690703,0.066681579,0.0,47015597,5478567,0.003743705,68.28802803,9016,1227943.977721856,527.63217792736,2026-02
2026-02-17,1193.212798527,0.02051962,0.086191234,0.0,46823141,5438365,0.004818866,88.267463117,11344,1221849.905691648,525.01363135188,2026-02
2026-02-16,1187.071989885,0.020375975,0.144619687,0.0,46629542,5399791,0.008224776,148.133734513,19366,1215561.71764224,522.3116755494,2026-02
2026-02-15,1181.096137457,0.020225136,0.058819731,0.0,46436485,5359287,0.003473038,60.285098113,8166,1209442.444755968,519.68230048108,2026-02
2026-02-14,1174.926479821,0.020095172,0.088248698,0.0,46243874,5310902,0.004863427,90.437725162,11471,1203124.715336704,516.96765112124,2026-02
2026-02-13,1168.819299018,0.019746059,0.073581222,0.0,46050690,5217591,0.004406521,75.354288969,10422,1196870.962194432,514.28049156792,2026-02
2026-02-12,1162.882641279,0.019446932,0.099287129,0.0,45857487,5119667,0.005788443,101.679173906,13641,1190791.824669696,511.66836216276,2026-02
